Date,Open,High,Low,Close,Volume
7-Jun-16,27.07,28.07,26.94,27.90,26313
6-Jun-16,27.54,27.79,26.85,26.95,34671
3-Jun-16,27.12,27.81,26.75,27.60,38485
2-Jun-16,27.30,27.30,26.47,26.77,34222
1-Jun-16,27.05,27.68,26.77,27.37,26133
31-May-16,27.15,27.25,26.76,27.10,33739
27-May-16,27.00,27.14,26.86,27.14,12185
26-May-16,26.91,27.11,26.45,26.91,12537
25-May-16,27.54,27.87,26.69,26.91,25415
24-May-16,26.33,27.95,26.33,27.63,37566
23-May-16,26.13,26.64,25.71,26.33,37576
20-May-16,25.42,26.04,25.10,26.01,20745
19-May-16,24.78,25.47,24.78,25.23,49966
18-May-16,24.64,25.13,24.42,24.89,20598
17-May-16,25.39,25.51,24.46,24.59,20887
16-May-16,25.53,25.82,25.26,25.50,24329
13-May-16,25.55,25.85,25.17,25.56,14291
12-May-16,25.57,25.78,25.37,25.55,18781
11-May-16,25.86,25.90,25.33,25.36,14882
10-May-16,25.57,25.90,25.20,25.88,17039
9-May-16,24.54,25.70,24.50,25.45,45366
6-May-16,24.64,24.89,24.35,24.68,13849
5-May-16,25.20,25.35,24.39,24.60,43112
4-May-16,25.40,25.66,25.14,25.21,36752
3-May-16,24.80,25.95,24.35,25.52,92360
2-May-16,24.41,25.05,24.41,24.81,48147
29-Apr-16,24.66,24.91,24.22,24.40,32705
28-Apr-16,24.78,25.14,24.71,24.77,33433
27-Apr-16,25.04,25.19,24.68,24.75,11399
26-Apr-16,24.87,25.25,24.82,25.06,24869
25-Apr-16,24.11,24.77,24.11,24.73,24569
22-Apr-16,24.22,24.35,24.05,24.20,18566
21-Apr-16,25.36,25.46,24.01,24.28,51914
20-Apr-16,24.97,25.55,24.89,25.37,25303
19-Apr-16,25.15,25.26,24.73,25.01,15072
18-Apr-16,24.78,25.14,24.62,24.94,23129
15-Apr-16,23.92,25.07,23.87,24.74,54759
14-Apr-16,23.91,24.04,23.78,24.03,12009
13-Apr-16,23.87,24.15,23.56,23.91,27410
12-Apr-16,23.60,24.25,23.58,23.80,34296
11-Apr-16,24.00,24.05,23.51,23.58,41910
8-Apr-16,23.65,24.07,23.56,24.01,24170
7-Apr-16,24.12,24.25,23.50,23.55,19405
6-Apr-16,23.66,24.35,23.52,24.21,30833
5-Apr-16,23.64,23.86,23.51,23.71,30664
4-Apr-16,24.03,24.04,23.64,23.68,24522
1-Apr-16,24.10,24.19,23.81,23.87,22108
31-Mar-16,24.51,24.74,24.12,24.16,68359
30-Mar-16,24.39,24.54,24.24,24.40,45897
29-Mar-16,23.84,24.37,23.76,24.20,30072
28-Mar-16,23.82,24.09,23.66,23.97,35764
24-Mar-16,23.42,23.88,23.30,23.78,26412
23-Mar-16,24.00,24.00,23.52,23.54,21815
22-Mar-16,24.28,24.28,23.94,23.98,26976
21-Mar-16,24.40,24.53,24.07,24.30,22953
18-Mar-16,24.20,24.78,24.06,24.48,72219
17-Mar-16,24.25,24.25,23.99,24.04,33985
16-Mar-16,24.11,24.87,24.10,24.24,23289
15-Mar-16,24.32,24.40,24.10,24.24,29347
14-Mar-16,24.16,24.52,24.12,24.27,33962
11-Mar-16,24.44,24.45,24.25,24.41,29860
10-Mar-16,24.69,25.15,24.00,24.20,37032
9-Mar-16,24.52,24.94,24.52,24.68,27694
8-Mar-16,25.23,25.49,24.58,24.69,29137
7-Mar-16,24.80,25.28,24.50,25.13,67659
4-Mar-16,25.28,25.28,24.50,24.77,48675
3-Mar-16,25.23,27.40,24.58,24.88,96152
2-Mar-16,26.75,26.75,25.18,25.31,43030
1-Mar-16,26.84,26.84,26.16,26.41,28063
29-Feb-16,26.95,26.95,26.29,26.51,31082
26-Feb-16,26.19,26.60,25.72,26.44,24305
25-Feb-16,25.43,26.31,25.17,26.09,21849
24-Feb-16,24.46,25.15,24.31,25.06,57823
23-Feb-16,24.25,24.67,24.25,24.46,49357
22-Feb-16,24.99,25.40,24.38,24.51,87633
19-Feb-16,24.45,24.57,24.40,24.49,16513
18-Feb-16,24.77,24.77,24.34,24.45,39115
17-Feb-16,24.97,24.97,24.61,24.66,26582
16-Feb-16,24.75,25.07,24.65,24.85,69695
12-Feb-16,24.52,24.86,24.27,24.62,31229
11-Feb-16,24.19,24.47,24.14,24.29,11900
10-Feb-16,25.38,25.58,24.45,24.54,19278
9-Feb-16,24.59,25.30,24.55,25.08,21259
8-Feb-16,24.36,24.95,24.30,24.77,10855
5-Feb-16,24.50,25.08,24.46,24.50,21509
4-Feb-16,25.14,25.47,24.55,24.55,10181
3-Feb-16,25.41,25.41,24.76,25.19,12146
2-Feb-16,25.76,25.76,24.76,25.26,14435
1-Feb-16,26.48,26.48,25.77,25.84,30419
29-Jan-16,24.72,26.36,24.71,26.26,42222
28-Jan-16,24.71,25.18,24.30,24.42,12932
27-Jan-16,25.65,25.65,24.30,24.39,26572
26-Jan-16,24.80,25.80,24.71,25.73,30964
25-Jan-16,25.26,25.74,24.75,24.76,26151
22-Jan-16,24.03,25.38,24.03,25.33,28267
21-Jan-16,23.43,23.75,23.43,23.62,25545
20-Jan-16,23.30,23.98,23.29,23.43,52245
19-Jan-16,24.10,24.10,23.31,23.95,29314
15-Jan-16,24.33,24.70,23.36,24.00,20996
14-Jan-16,24.98,25.09,24.15,24.89,18839
13-Jan-16,25.20,25.23,24.65,24.95,42961
12-Jan-16,24.92,24.98,24.72,24.95,34147
11-Jan-16,24.85,25.06,24.71,24.95,18787
8-Jan-16,25.25,26.30,24.92,24.93,29510
7-Jan-16,25.51,26.33,24.67,25.01,29358
6-Jan-16,25.34,26.11,25.33,25.88,29714
5-Jan-16,25.25,25.71,25.14,25.56,37950
4-Jan-16,26.00,26.35,25.30,25.39,40464
31-Dec-15,26.50,26.94,26.20,26.35,28733
30-Dec-15,26.81,26.94,26.02,26.54,27809
29-Dec-15,26.61,26.88,26.24,26.78,13447
28-Dec-15,27.06,27.11,26.44,26.68,14215
24-Dec-15,27.40,27.44,26.81,27.00,13465
23-Dec-15,26.64,27.50,26.59,27.45,14226
22-Dec-15,26.37,26.48,26.21,26.42,15192
21-Dec-15,25.93,26.38,25.92,26.27,18187
18-Dec-15,25.40,26.51,25.40,25.76,63813
17-Dec-15,25.90,26.05,25.47,25.55,18527
16-Dec-15,25.50,26.00,25.09,25.88,17888
15-Dec-15,25.35,25.62,25.13,25.37,28894
14-Dec-15,25.41,25.74,25.21,25.29,31388
11-Dec-15,25.05,25.48,25.03,25.34,36386
10-Dec-15,25.59,25.74,25.20,25.45,22556
9-Dec-15,25.55,25.70,25.06,25.42,39391
8-Dec-15,25.37,25.68,25.05,25.50,29880
7-Dec-15,25.43,25.70,25.26,25.47,27762
4-Dec-15,25.75,25.85,25.35,25.54,25425
3-Dec-15,25.25,26.30,25.25,25.64,28759
2-Dec-15,25.93,26.07,25.31,25.61,28831
1-Dec-15,25.93,26.13,25.73,25.80,14908
30-Nov-15,26.42,26.55,25.79,25.90,45951
27-Nov-15,26.05,26.64,25.93,26.42,11862
25-Nov-15,25.60,26.15,25.60,25.99,15196
24-Nov-15,26.43,26.60,25.56,25.77,20476
23-Nov-15,25.63,26.47,25.53,26.44,26840
20-Nov-15,25.87,25.98,25.53,25.72,22953
19-Nov-15,26.69,26.90,25.50,25.69,37548
18-Nov-15,26.33,26.73,25.76,26.61,21885
17-Nov-15,26.20,26.35,25.67,26.12,12368
16-Nov-15,26.36,26.39,25.80,26.17,22306
13-Nov-15,25.28,26.50,25.28,26.27,34117
12-Nov-15,25.42,25.49,25.30,25.40,17585
11-Nov-15,25.75,25.84,25.25,25.48,15349
10-Nov-15,26.18,26.19,25.65,25.86,18418
9-Nov-15,26.57,26.91,25.75,25.91,21081
6-Nov-15,25.62,26.59,25.62,26.59,16657
5-Nov-15,25.50,25.72,25.25,25.66,17876
4-Nov-15,25.44,26.79,25.14,25.50,29766
3-Nov-15,26.37,26.53,25.31,25.51,22945
2-Nov-15,25.22,26.25,24.91,26.22,19565
30-Oct-15,25.29,25.29,24.79,25.06,17738
29-Oct-15,25.76,25.95,24.96,25.16,19401
28-Oct-15,24.55,26.00,24.45,25.80,42898
27-Oct-15,24.52,24.52,24.25,24.45,16692
26-Oct-15,24.43,24.63,24.25,24.51,21940
23-Oct-15,25.28,25.41,24.12,24.37,29761
22-Oct-15,24.45,25.35,24.30,25.02,25054
21-Oct-15,24.15,24.64,23.90,24.10,30824
20-Oct-15,24.19,24.33,23.67,24.16,31283
19-Oct-15,24.21,25.13,24.00,24.08,44215
16-Oct-15,24.40,24.40,23.92,24.17,20727
15-Oct-15,24.13,24.32,24.00,24.29,17000
14-Oct-15,24.31,24.43,23.90,23.91,20244
13-Oct-15,25.44,25.44,24.28,24.28,30764
12-Oct-15,25.51,25.63,25.22,25.53,35956
9-Oct-15,26.10,26.36,25.29,25.29,25985
8-Oct-15,24.20,26.24,24.20,25.97,35456
7-Oct-15,25.32,26.34,24.15,24.45,25471
6-Oct-15,25.50,25.51,25.25,25.39,12306
5-Oct-15,24.80,25.51,24.80,25.50,42930
2-Oct-15,24.11,24.57,24.00,24.57,14156
1-Oct-15,23.82,24.53,23.81,24.15,28453
30-Sep-15,24.85,24.85,23.56,23.61,36956
29-Sep-15,24.67,25.13,24.40,24.46,10653
28-Sep-15,24.98,25.36,24.73,24.79,26893
25-Sep-15,25.24,25.57,24.90,24.99,34071
24-Sep-15,24.76,25.17,24.64,25.05,22717
23-Sep-15,25.20,25.20,24.51,24.86,31218
22-Sep-15,25.30,25.39,25.01,25.02,25279
21-Sep-15,26.54,26.54,25.28,25.51,31236
18-Sep-15,27.36,27.36,26.00,26.15,60207
17-Sep-15,27.12,28.11,26.76,27.87,25161
16-Sep-15,26.33,27.38,25.86,27.18,31165
15-Sep-15,26.01,26.50,25.81,26.22,35115
14-Sep-15,26.68,27.18,26.08,26.22,16147
11-Sep-15,26.80,26.88,26.52,26.74,21089
10-Sep-15,26.50,26.93,26.37,26.82,24490
9-Sep-15,27.65,27.65,26.34,26.50,28158
8-Sep-15,26.99,27.64,26.70,27.48,19642
4-Sep-15,27.05,27.62,26.48,26.65,15892
3-Sep-15,27.87,27.93,27.30,27.44,18538
2-Sep-15,27.28,27.84,27.00,27.79,17290
1-Sep-15,27.28,27.90,26.57,26.85,29173
31-Aug-15,27.30,27.93,27.10,27.79,22184
28-Aug-15,26.63,27.69,26.62,27.33,33787
27-Aug-15,27.75,27.75,26.69,26.81,24857
26-Aug-15,27.55,27.82,27.25,27.71,18905
